,X,Y,ID,SER,PERMIT,CR,DR,LOCATION,DATE,CD,TG,GD,MODEL,THEME,CITY,LAT,LON,TOOLTIP
82,-118.40659999988476,34.28599999987161,1083,EV484,,NE,NB,FOOTHILL FS PAXTON,2001-12-21T00:00:00.000Z,7,482.0,E7,D2MG,AD SHELTERS,LOS ANGELES,34.286,-118.4066,Type: AD SHELTERS\nLocation:  FOOTHILL FS PAXTON\nCouncil District:  7\nDate:  12/21/2001\nSerial: EV484\nPermit:  
83,-118.40659999988476,34.28599999987161,1084,EV483,,NW,SB,FOOTHILL NS PAXTON,2001-12-21T00:00:00.000Z,7,482.0,E7,D2MG,AD SHELTERS,LOS ANGELES,34.286,-118.4066,Type: AD SHELTERS\nLocation:  FOOTHILL NS PAXTON\nCouncil District:  7\nDate:  12/21/2001\nSerial: EV483\nPermit:  
84,-118.43419999992166,34.3110999999753,1085,WV307,,NE,NB,FOOTHILL FS SAYRE,2000-03-16T00:00:00.000Z,7,482.0,B3,A,AD SHELTERS,LOS ANGELES,34.3111,-118.4342,Type: AD SHELTERS\nLocation:  FOOTHILL FS SAYRE\nCouncil District:  7\nDate:  3/16/2000\nSerial: WV307\nPermit:  
85,-118.40069999984597,34.280600000074,1086,EV487,,SW,SB,FOOTHILL FS VAN NUYS,2001-12-20T00:00:00.000Z,7,482.0,F7,D2MG,AD SHELTERS,LOS ANGELES,34.2806,-118.4007,Type: AD SHELTERS\nLocation:  FOOTHILL FS VAN NUYS\nCouncil District:  7\nDate:  12/20/2001\nSerial: EV487\nPermit:  
86,-118.44569999997444,34.31950000005621,1087,EV453,,SE,NB,FOOTHILL NS TYLER,2001-05-17T00:00:00.000Z,7,482.0,A2,D2MG,AD SHELTERS,LOS ANGELES,34.3195,-118.4457,Type: AD SHELTERS\nLocation:  FOOTHILL NS TYLER\nCouncil District:  7\nDate:  5/17/2001\nSerial: EV453\nPermit:  
87,-118.44569999997444,34.31950000005621,1088,EV454,,NW,SB,FOOTHILL NS TYLER,2001-05-17T00:00:00.000Z,7,482.0,A2,D2MG,AD SHELTERS,LOS ANGELES,34.3195,-118.4457,Type: AD SHELTERS\nLocation:  FOOTHILL NS TYLER\nCouncil District:  7\nDate:  5/17/2001\nSerial: EV454\nPermit:  
88,-118.41430000007244,34.2929000000527,1089,EV481,,NW,SB,FOOTHILL NS VAUGHN,2001-12-21T00:00:00.000Z,7,482.0,E6,D2MG,AD SHELTERS,LOS ANGELES,34.2929,-118.4143,Type: AD SHELTERS\nLocation:  FOOTHILL NS VAUGHN\nCouncil District:  7\nDate:  12/21/2001\nSerial: EV481\nPermit:  
89,-118.39200000002472,34.25510000017632,1090,EV097,,NE,WB,GLENOAKS NS BRANFORD,1983-03-18T00:00:00.000Z,7,502.0,G4,A,AD SHELTERS,LOS ANGELES,34.2551,-118.39200000000001,Type: AD SHELTERS\nLocation:  GLENOAKS NS BRANFORD\nCouncil District:  7\nDate:  3/18/1983\nSerial: EV097\nPermit:  
90,-118.39360000015706,34.256999999887384,1091,EV098,,NE,WB,GLENOAKS NS MONTAGUE,1983-03-18T00:00:00.000Z,7,502.0,G3,A,AD SHELTERS,LOS ANGELES,34.257,-118.3936,Type: AD SHELTERS\nLocation:  GLENOAKS NS MONTAGUE\nCouncil District:  7\nDate:  3/18/1983\nSerial: EV098\nPermit:  
91,-118.3999999997881,34.263700000017,1092,EV099,,SE,EB,GLENOAKS FS OSBORNE,1982-11-24T00:00:00.000Z,7,502.0,E3,B,AD SHELTERS,LOS ANGELES,34.2637,-118.4,Type: AD SHELTERS\nLocation:  GLENOAKS FS OSBORNE\nCouncil District:  7\nDate:  11/24/1982\nSerial: EV099\nPermit:  
92,-118.4166999998218,34.278799999991676,1093,EV343,,SE,NB,GLENOAKS NS PAXTON,2001-12-20T00:00:00.000Z,7,502.0,D1,D2MG,AD SHELTERS,LOS ANGELES,34.2788,-118.4167,Type: AD SHELTERS\nLocation:  GLENOAKS NS PAXTON\nCouncil District:  7\nDate:  12/20/2001\nSerial: EV343\nPermit:  
93,-118.4166999998218,34.278799999991676,1094,EV342,,SW,SB,GLENOAKS FS PAXTON,2001-12-20T00:00:00.000Z,7,502.0,D1,D2MG,AD SHELTERS,LOS ANGELES,34.2788,-118.4167,Type: AD SHELTERS\nLocation:  GLENOAKS FS PAXTON\nCouncil District:  7\nDate:  12/20/2001\nSerial: EV342\nPermit:  
94,-118.41109999980776,34.274099999969216,1095,EV067,,NW,WB,GLENOAKS FS VAN NUYS,2002-01-24T00:00:00.000Z,7,502.0,E1,D1MG,AD SHELTERS,LOS ANGELES,34.2741,-118.4111,Type: AD SHELTERS\nLocation:  GLENOAKS FS VAN NUYS\nCouncil District:  7\nDate:  1/24/2002\nSerial: EV067\nPermit:  
95,-118.4444999998752,34.294099999856854,1096,EV480,,NE,NB,HUBBARD FS BRADLEY,2001-12-21T00:00:00.000Z,7,482.0,A6,D2MG,AD SHELTERS,LOS ANGELES,34.2941,-118.4445,Type: AD SHELTERS\nLocation:  HUBBARD FS BRADLEY\nCouncil District:  7\nDate:  12/21/2001\nSerial: EV480\nPermit:  
96,-118.41950000005336,34.316900000007,1097,WV268,,SW,SB,HUBBARD FS SIMSHAW-traffic,1998-11-18T00:00:00.000Z,7,482.0,D2,A,AD SHELTERS,LOS ANGELES,34.3169,-118.4195,Type: AD SHELTERS\nLocation:  HUBBARD FS SIMSHAW-traffic\nCouncil District:  7\nDate:  11/18/1998\nSerial: WV268\nPermit:  
97,-118.43839999981986,34.29950000002816,1098,EV232,,SE,NB,HUBBARD NS GLENOAKS,1990-03-16T00:00:00.000Z,7,482.0,B5,A,AD SHELTERS,LOS ANGELES,34.2995,-118.4384,Type: AD SHELTERS\nLocation:  HUBBARD NS GLENOAKS\nCouncil District:  7\nDate:  3/16/1990\nSerial: EV232\nPermit:  
98,-118.44170000009278,34.26950000009856,1099,EV426,,NE,NB,LAUREL CYN. FS CHAMBERLAIN,2002-01-31T00:00:00.000Z,7,502.0,A2,D2MG,AD SHELTERS,LOS ANGELES,34.2695,-118.4417,Type: AD SHELTERS\nLocation:  LAUREL CYN. FS CHAMBERLAIN\nCouncil District:  7\nDate:  1/31/2002\nSerial: EV426\nPermit:  
99,-118.43760000020286,34.26479999986436,1100,EV069,,SW,SB,LAUREL CYN. FS PAXTON,1982-10-21T00:00:00.000Z,7,502.0,B3,A,AD SHELTERS,LOS ANGELES,34.2648,-118.4376,Type: AD SHELTERS\nLocation:  LAUREL CYN. FS PAXTON\nCouncil District:  7\nDate:  10/21/1982\nSerial: EV069\nPermit:  
